Pregunta,Respuesta
"¿Cuántos tableros tiene el juego base?","Dos: el tablero principal y los tableros individuales de los jugadores."
"¿Qué representan las cartas de artefactos?","Objetos antiguos que ayudan a los jugadores con habilidades únicas."
"¿Cuántos ídolos de templo hay en total?","Hay 12 ídolos en el tablero principal."
"¿Cuántas cartas iniciales recibe cada jugador?","Cada jugador recibe 4 cartas de miedo y 2 cartas de equipo."
"¿Cuántos templos están disponibles en el juego base?","Tres, uno de cada color: azul, verde y rojo."
"¿Qué mecánica principal combina este juego?","Construcción de mazos y colocación de trabajadores."
"¿Cuántos trabajadores puede usar un jugador en cada ronda?","Dos trabajadores."
"¿Qué sucede si un jugador no puede pagar los costos de una carta?","No puede jugar la carta."
"¿Cuál es el objetivo principal del juego?","Obtener la mayor cantidad de puntos de victoria explorando y desbloqueando áreas del tablero."
"¿Cuántas acciones principales puede realizar un jugador en su turno?","Una sola acción principal por turno."
"¿Qué tipos de cartas hay en el juego?","Artefactos, equipo y cartas de miedo."
"¿Qué efectos tienen las cartas de miedo?","Reducen puntos de victoria al final del juego."
"¿Quiénes diseñaron Las Ruinas Perdidas de Arnak?","Michal Štach y Michaela Štachová."
"¿En qué año se publicó por primera vez el juego?","En 2020."
"¿Cuál es el rango de jugadores permitido?","De 1 a 4 jugadores."
"¿Cuál es la duración aproximada de una partida?","Entre 30 y 120 minutos."
"¿Qué empresa publicó el juego originalmente?","Czech Games Edition (CGE)."
"¿Qué empresa publicó la versión en español?","Devir."
"¿Qué edad mínima se recomienda para jugar?","12 años."
"¿Cuánto cuesta el juego en el mercado?","59,99€."
"¿Qué tipo de caja tiene el juego?","Una caja rectangular de dos piezas (tapa y fondo)."
"¿Cuántas losetas de ayudante incluye el juego?","12 losetas."
"¿Cuántas losetas de guardián hay?","15 losetas."
"¿Cuántas losetas de yacimiento de nivel I hay?","10 losetas."
"¿Cuántas losetas de yacimiento de nivel II hay?","6 losetas."
"¿Cuántas cartas de miedo incluye el juego?","19 cartas."
"¿Cuántas cartas de objeto hay en el mazo inicial?","40 cartas."
"¿Cuántas cartas de artefacto están disponibles?","35 cartas."
"¿Cuántos peones de arqueólogos recibe cada jugador?","2 peones por jugador."
"¿Qué representan las fichas de lupa y cuaderno?","Los marcadores de investigación de los jugadores."
"¿Qué elementos representan los recursos básicos?","Monedas y brújulas."
"¿Qué elementos forman los recursos valiosos?","Tablillas, puntas de flecha y gemas."
"¿Cómo se estructura el tablero principal?","En cuatro zonas: suministro de cartas, track de investigación, tablero de suministros y yacimientos."
"¿Cuántas rondas dura una partida?","Cinco rondas."
"¿Qué sucede si no derrotas a un guardián?","Obtienes una carta de miedo."
"¿Qué efecto tienen las cartas de miedo?","Restan 1 punto al final de la partida."
"¿Qué tipos de transporte existen en las cartas?","Botas, coches, barcos y aviones."
"¿Qué ventaja tienen los aviones como transporte?","Sirven como cualquier tipo de transporte."
"¿Cuántos niveles tiene el track de investigación?","Tres niveles."
"¿Qué sucede si llegas al templo con la lupa?","Puedes explorar el templo y obtener losetas de templo."
"¿Cuántas losetas de templo hay?","24 losetas."
"¿Qué beneficio proporcionan las fichas de ídolo?","Beneficios inmediatos y puntos de victoria al final del juego."
"¿Qué función tienen las losetas de ayudante?","Proporcionan acciones gratuitas durante la ronda."
"¿Cuántos niveles tiene cada loseta de ayudante?","Dos niveles: básico y mejorado."
"¿Qué acciones principales puedes realizar en tu turno?","Excavar, descubrir un yacimiento, derrotar guardianes, comprar cartas, investigar o pasar."
"¿Cuántas brújulas se necesitan para descubrir un yacimiento de nivel I?","Tres brújulas."
"¿Qué obtienes al derrotar a un guardián?","Puntos de victoria y una acción gratuita posterior."
"¿Cómo se obtienen cartas de objeto?","Pagando monedas y colocándolas en el fondo del mazo."
"¿Cómo se obtienen cartas de artefacto?","Pagando brújulas y activando su efecto inmediatamente."
"¿Qué acción especial puedes realizar en cualquier turno?","Ejecutar acciones gratuitas con el símbolo del rayo."
"¿Cómo se prepara el mazo inicial de cada jugador?","Con 4 cartas iniciales y 2 cartas de miedo."
"¿Cómo se determina el jugador inicial?","Se elige aleatoriamente y se le entrega el marcador correspondiente."
"¿Qué puntos se evalúan al final de la partida?","Track de investigación, losetas de templo, ídolos, guardianes derrotados y cartas obtenidas."
"¿Qué puntos se pierden al final de la partida?","1 punto por cada carta de miedo en el mazo."
"¿Qué pasa si hay empate en los puntos finales?","Gana el jugador que llegó primero al templo."
"¿Qué elementos se utilizan en el modo en solitario?","Un tablero de bot y losetas de acción específicas."
"¿Qué simbolizan las brújulas en el juego?","Un recurso para descubrir yacimientos y adquirir artefactos."
"¿Qué se necesita para avanzar en el track de investigación?","Recursos básicos o valiosos según el nivel."
"¿Qué tamaño tienen las cartas del juego?","63,5×88 mm."
"¿Qué sucede al final de cada ronda?","Se prepara el tablero, los jugadores recuperan peones y roban cartas."
"¿Qué función tienen las losetas de recompensa?","Proporcionan beneficios inmediatos al alcanzarlas en el track de investigación."
"How many boards does the base game have?","Two: the main board and the players' individual boards."
"What do the artifact cards represent?","Ancient objects that help players with unique abilities."
"How many temple idols are there in total?","There are 12 idols on the main board."
"How many starting cards does each player receive?","Each player receives 4 fear cards and 2 equipment cards."
"How many temples are available in the base game?","Three, one of each color: blue, green, and red."
"What is the main mechanic this game combines?","Deck-building and worker placement."
"How many workers can a player use each round?","Two workers."
"What happens if a player cannot pay the cost of a card?","They cannot play the card."
"What is the main objective of the game?","To score the most victory points by exploring and unlocking areas of the board."
"How many main actions can a player take on their turn?","One main action per turn."
"What types of cards are in the game?","Artifacts, equipment, and fear cards."
"What effects do fear cards have?","They reduce victory points at the end of the game."
"Who designed Lost Ruins of Arnak?","Michal Štach and Michaela Štachová."
"In what year was the game first published?","In 2020."
"What is the player range for the game?","From 1 to 4 players."
"What is the approximate duration of a game?","Between 30 and 120 minutes."
"What company originally published the game?","Czech Games Edition (CGE)."
"What company published the Spanish version?","Devir."
